                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.40594,                0.24005,                0.80659,                0.99627,                0.97665,                 0.9937,                0.95851,                0.27444,                 0.1763,                0.78626,              0.0087724,              0.0087724,              0.0087724
                    127,                0.40455,                0.24322,                0.80618,                0.99461,                0.97794,                0.99385,                0.95789,                0.27852,                0.17423,                0.78605,              0.0087625,              0.0087625,              0.0087625
                    128,                0.41009,                0.23981,                0.80673,                0.99459,                0.97794,                0.99381,                 0.9589,                0.27503,                0.17329,                0.78542,              0.0087526,              0.0087526,              0.0087526
                    129,                 0.4038,                0.24249,                0.80611,                0.99354,                0.97945,                0.99403,                0.95498,                0.28016,                0.17792,                0.78803,              0.0087427,              0.0087427,              0.0087427
                    130,                0.40265,                0.24184,                0.80697,                0.99566,                0.97731,                 0.9939,                0.95829,                0.27682,                0.17328,                 0.7844,              0.0087328,              0.0087328,              0.0087328
                    131,                 0.4055,                0.24017,                0.80621,                  0.995,                0.97834,                0.99371,                0.95651,                0.27993,                0.17517,                0.78656,              0.0087229,              0.0087229,              0.0087229
                    132,                 0.4048,                0.24051,                0.80664,                0.99685,                0.97592,                0.99392,                 0.9581,                0.27763,                0.17483,                 0.7846,               0.008713,               0.008713,               0.008713
                    133,                0.40443,                0.24242,                0.80803,                0.99471,                0.97756,                0.99396,                0.95712,                0.27911,                0.17595,                0.78735,              0.0087031,              0.0087031,              0.0087031
                    134,                0.40658,                0.23932,                 0.8062,                0.99427,                0.97895,                0.99377,                0.95526,                0.27369,                0.17767,                0.78587,              0.0086932,              0.0086932,              0.0086932
                    135,                0.40476,                0.24313,                0.80662,                0.99486,                0.97699,                0.99397,                0.95857,                0.27159,                0.17325,                0.78584,              0.0086833,              0.0086833,              0.0086833
                    136,                 0.4054,                0.24097,                 0.8076,                0.99383,                0.97693,                0.99389,                0.95811,                0.27165,                0.17648,                0.78624,              0.0086734,              0.0086734,              0.0086734
                    137,                0.40508,                0.23851,                0.80567,                 0.9949,                0.97693,                0.99401,                  0.959,                0.27028,                0.17154,                0.78462,              0.0086635,              0.0086635,              0.0086635
                    138,                0.40129,                0.23852,                0.80838,                0.99334,                0.97746,                0.99368,                0.95574,                0.27492,                0.17666,                  0.789,              0.0086536,              0.0086536,              0.0086536
                    139,                0.40326,                0.23801,                0.80666,                0.99411,                 0.9788,                0.99401,                0.95914,                0.27174,                0.17342,                0.78801,              0.0086437,              0.0086437,              0.0086437
                    140,                0.40143,                0.24345,                0.80665,                0.99538,                0.97783,                0.99397,                0.95803,                0.27202,                0.17134,                0.78713,              0.0086338,              0.0086338,              0.0086338
                    141,                0.40068,                0.23917,                0.80652,                0.99501,                0.97756,                0.99403,                0.95834,                0.27512,                0.17337,                0.78828,              0.0086239,              0.0086239,              0.0086239
                    142,                  0.401,                0.23549,                0.80646,                0.99618,                0.97668,                0.99393,                0.95959,                0.27133,                0.17303,                0.78625,               0.008614,               0.008614,               0.008614
                    143,                0.40303,                0.23944,                  0.807,                0.99355,                0.97642,                0.99379,                0.95387,                0.28699,                0.18021,                0.78942,              0.0086041,              0.0086041,              0.0086041
                    144,                0.39966,                0.23805,                0.80644,                0.99622,                 0.9768,                0.99407,                 0.9572,                0.27309,                0.17217,                 0.7872,              0.0085942,              0.0085942,              0.0085942
                    145,                0.40203,                0.23573,                0.80673,                 0.9965,                0.97655,                 0.9941,                0.95985,                 0.2681,                0.17077,                0.78604,              0.0085843,              0.0085843,              0.0085843
                    146,                0.40486,                0.24024,                0.80725,                0.99419,                0.97882,                0.99407,                0.96093,                0.26694,                0.16986,                0.78487,              0.0085744,              0.0085744,              0.0085744
                    147,                 0.4022,                0.24166,                0.80538,                0.99424,                0.97896,                0.99409,                0.95778,                0.27604,                0.17018,                 0.7854,              0.0085645,              0.0085645,              0.0085645
                    148,                0.40164,                0.24116,                0.80565,                0.99483,                0.97857,                0.99406,                0.95967,                0.26684,                0.16909,                0.78537,              0.0085546,              0.0085546,              0.0085546
                    149,                0.40168,                0.23661,                0.80583,                0.99589,                0.97821,                0.99393,                0.96062,                0.26709,                0.16893,                0.78419,              0.0085447,              0.0085447,              0.0085447
                    150,                0.39773,                0.23648,                 0.8056,                0.99474,                0.97799,                0.99386,                 0.9578,                0.27253,                0.17359,                0.78574,              0.0085348,              0.0085348,              0.0085348
                    151,                0.40055,                0.23669,                0.80651,                0.99511,                0.97617,                0.99374,                0.95357,                0.28199,                0.17774,                0.78969,              0.0085249,              0.0085249,              0.0085249
                    152,                 0.3974,                0.23921,                0.80585,                 0.9955,                0.97819,                0.99409,                0.96068,                0.26531,                0.16863,                0.78652,               0.008515,               0.008515,               0.008515
                    153,                0.39879,                0.23717,                0.80544,                  0.995,                0.97838,                0.99408,                0.96047,                0.26605,                 0.1684,                0.78446,              0.0085051,              0.0085051,              0.0085051
                    154,                0.39777,                0.23864,                0.80571,                0.99464,                0.97932,                0.99409,                0.95992,                0.26691,                 0.1684,                0.78369,              0.0084952,              0.0084952,              0.0084952
                    155,                0.39813,                0.23231,                0.80542,                  0.995,                0.97815,                0.99415,                0.96072,                0.26312,                0.16709,                0.78462,              0.0084853,              0.0084853,              0.0084853
                    156,                0.39814,                0.23262,                0.80534,                0.99478,                0.97958,                0.99403,                0.96077,                0.26538,                0.16785,                0.78406,              0.0084754,              0.0084754,              0.0084754
                    157,                0.39619,                0.23734,                 0.8061,                0.99241,                0.98096,                0.99413,                0.95904,                0.26659,                0.17001,                0.78496,              0.0084655,              0.0084655,              0.0084655
